Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Closed Date,New,In Specification,Open,In Progress,In Review,Pending,Resolved,Closed,Resolution 
Financial Reporting & Analytics,,FINRA-7197,Story,Closed,02.05.2022 17:26:51,Alt-BW|,,02.05.2022 17:29:30,06.09.2022 08:29:12,2,122145,178,8290,50950,0,774,347271,Done 
Financial Reporting & Analytics,,FINRA-7196,Story,Closed,02.05.2022 17:19:16,Alt-BW|,,04.05.2022 06:07:05,01.09.2022 17:02:26,2207,0,23195,149009,0,0,1250,353958,Done 
Financial Reporting & Analytics,,FINRA-7195,Story,Closed,02.05.2022 17:12:14,Alt-BW|,,04.05.2022 06:07:25,07.09.2022 09:34:08,2215,0,3153,5973,163077,0,9442,345766,Done 
Financial Reporting & Analytics,,FINRA-6249,Story,Closed,25.03.2022 09:49:55,BW/4|FinanceLayer|,,29.03.2022 08:26:16,26.07.2022 16:20:50,5676,40586,0,0,0,1,26066,512458,Duplicate 
Financial Reporting & Analytics,,FINRA-6010,Epic,In Specification,14.03.2022 16:03:44,Alt-BW|BW/4|FinanceLayer|,,29.09.2022 15:58:03,,286554,313702,0,0,0,0,0,0, 
Financial Reporting & Analytics,,FINRA-4872,Story,Closed,17.01.2022 08:27:05,Accounting|BW/4|FinanceLayer|SAC|,,08.02.2022 11:20:32,01.09.2022 16:20:08,31853,28996,122488,143968,0,0,46,354000,Done 
Financial Reporting & Analytics,,FINRA-4151,Epic,Closed,22.11.2021 12:54:57,BW/4|FinanceLayer|,,29.11.2021 09:46:17,26.09.2022 10:26:28,9891,94064,0,305045,34370,0,0,318354,Done 
Financial Reporting & Analytics,,FINRA-3309,Epic,New,29.09.2021 13:40:03,TBB|Use Case Reporting|,,,,839440,0,0,0,0,0,0, 
Financial Reporting & Analytics,,FINRA-3308,Epic,New,29.09.2021 13:38:41,TBB|Use Case Reporting|,,,,839442,0,0,0,0,0,0, 
Financial Reporting & Analytics,,FINRA-3307,Epic,Open,29.09.2021 13:37:45,Use Case Reporting|,,29.09.2022 16:13:35,,528503,67734,243203,0,0,0,0,0, 
